date,actual,forecast,lower_conf_int,upper_conf_int
2023-01-28,2692,2610,2367,2852
2023-02-28,2670,2607,2318,2897
2023-03-28,2460,2607,2284,2930
2023-04-28,2591,2607,2255,2959
2023-05-28,2548,2607,2228,2986
2023-06-28,2631,2607,2203,3011
2023-07-28,2760,2607,2179,3035
2023-08-28,2716,2607,2157,3057
2023-09-28,2539,2607,2135,3079
2023-10-28,2757,2607,2115,3099
2023-11-28,2738,2607,2095,3119
2023-12-28,2736,2607,2076,3138
